城市,经度,纬度
广州,113.23,23.16
花县,113.19,23.4
新十,114.2,24.09
增城,113.81,23.13
从化,113.55,23.57
龙门,114.25,23.75
番禺,113.36,22.95
海口,110.35,20.02
汕头,116.69,23.39
洪江,110.38,21.2
茂名,110.88,21.68
佛山,113.11,23.05
江门,113.06,22.61
深圳,114.07,22.62
宝安,113.85,22.58
珠海,113.52,22.3
韶关,113.62,24.84
曲江,113.58,24.68
乐昌,113.35,25.14
仁化,113.73,25.11
南雄,114.33,25.14
始兴,114.08,24.78
翁源,114.13,24.36
佛岗,113.52,23.86
英德,113.38,24.17
清远,113.01,23.7
阳山,112.65,24.48
连县,112.4,24.77
连山,112.07,24.59
连南,112.28,24.73
乳源,113.28,24.77
惠州,114.4,23.09
惠阳,114.4,23.09
博罗,114.28,23.18
河源,114.68,23.73
连平,114.48,24.39
和平,114.89,24.45
龙川,115.25,24.09
紫金,115.18,23.64
惠东,114.7,22.97
东莞,113.75,23.04
梅州,116.1,24.55
梅县,116.1,24.55
平远,117.9,24.59
蕉岭,116.18,24.66
大埔,116.7,24.34
丰顺,116.18,23.78
五华,115.75,23.93
兴宁,115.75,24.15
潮州,116.63,23.68
澄海,116.8,23.48
潮安,116.63,23.68
饶平,117.01,23.7
南澳,117.03,23.44
潮阳,116.61,23.27
惠来,116.29,23.07
陆丰,117.64,22.95
海丰,117.33,22.98
普宁,116.17,23.29
揭西,115.82,23.45
揭阳,116.35,23.55
南海,113.11,23.05
三水,112.89,23.18
顺德,113.24,22.84
中山,113.38,22.52
斗门,113.25,22.2
新会,113.02,22.52
鹤山,112.94,22.76
开平,112.68,22.36
台山,112.78,22.27
恩平,112.29,22.21
高明,112.76,21.71
廉江,110.27,21.63
化州,110.59,21.64
高州,110.83,21.95
信宜,110.9,22.36
阳春,111.78,22.16
阳江,111.95,21.85
电白,110.99,21.52
吴川,110.78,21.43
徐闻,110.17,20.34
海康,110.07,20.91
遂溪,110.24,21.39
肇庆,112.44,23.05
高要,112.44,23.05
怀集,112.18,23.93
广宁,112.43,23.14
四会,112.68,23.36
新兴,112.2,22.68
云浮,112.02,22.93
罗定,111.56,22.77
郁南,111.51,23.23
德庆,111.75,23.15
封开,111.48,23.45
